,Date,Rocket,Launch Site,Launch Latitude,Launch Longitude,Flight Number,Flight,Orbit,Payload (Kg),Land Site,Failed Launch,Successful Launch,gridfins_False,gridfins_True,legs_False,legs_True,reused_False,reused_True,landing_attempt_False,landing_attempt_True,Failed Landing,Successful Landing,Landing ASDS,Landing Ocean,Landing RTLS,Year
33,2017-05-01,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,39,1,LEO,7341.2,Cape Canaveral,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,2017
34,2017-05-15,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,40,1,GTO,6070.0,,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2017
35,2017-06-03,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,41,1,ISS,2708.0,Cape Canaveral,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,2017
36,2017-06-23,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,42,2,GTO,3669.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2017
37,2017-06-25,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,43,1,PO,9600.0,Port Canaveral,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2017
38,2017-07-05,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,44,1,GTO,6761.0,,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2017
39,2017-08-14,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,45,1,ISS,2910.0,Cape Canaveral,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,2017
40,2017-08-24,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,46,1,SSO,475.0,Port Canaveral,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2017
41,2017-09-07,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,47,1,LEO,4990.0,Cape Canaveral,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,2017
42,2017-10-09,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,48,1,PO,9600.0,Port Canaveral,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2017
43,2017-10-11,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,49,2,GTO,5200.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2017
44,2017-10-30,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,50,1,GTO,3700.0,Port of Los Angeles,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2017
45,2017-12-15,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,51,2,ISS,2205.0,Cape Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,2017
46,2017-12-23,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,52,2,PO,9600.0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,2017
47,2018-01-08,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,53,1,LEO,7341.2,Cape Canaveral,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,2018
48,2018-01-31,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,54,2,GTO,4230.0,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2018
49,2018-03-06,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,57,1,GTO,6092.0,,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,2018
50,2018-03-30,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,58,2,PO,9600.0,,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,2018
51,2018-04-02,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,59,2,ISS,2760.0,,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,2018
52,2018-04-18,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,60,1,HEO,350.0,Port of Los Angeles,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2018
53,2018-05-11,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,61,1,GTO,3750.0,Port of Los Angeles,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2018
54,2018-06-04,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,63,2,GTO,5383.85,,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,2018
55,2018-06-29,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,64,2,ISS,2410.0,,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,2018
56,2018-07-22,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,65,1,GTO,7076.0,Port of Los Angeles,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2018
57,2018-07-25,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,66,1,PO,9600.0,Port Canaveral,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2018
58,2018-08-07,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,67,2,GTO,5800.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2018
59,2018-09-10,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,68,1,GTO,7060.0,Port of Los Angeles,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2018
60,2018-10-08,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,69,2,SSO,2800.0,Vandenberg Air Force Base,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,2018
61,2018-11-15,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,70,2,GTO,3000.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2018
62,2018-12-03,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,71,3,SSO,4000.0,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2018
63,2018-12-05,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,72,1,ISS,2573.0,Cape Canaveral,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,2018
64,2018-12-23,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,73,1,MEO,4400.0,,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2018
65,2019-01-11,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,74,2,PO,9600.0,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2019
66,2019-03-02,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,76,1,ISS,12259.0,Port of Los Angeles,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2019
67,2019-05-04,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,78,1,ISS,2482.0,Port of Los Angeles,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2019
68,2019-05-24,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,79,3,VLEO,13200.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2019
69,2019-06-12,Falcon 9,VAFB SLC 4E,34.632093,-120.610829,80,2,SSO,1425.0,Vandenberg Air Force Base,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,2019
70,2019-07-25,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,82,2,ISS,2227.7,Cape Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,2019
71,2019-08-06,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,83,3,GTO,6500.0,,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,2019
72,2019-11-11,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,84,4,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2019
73,2019-12-05,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,85,1,ISS,5000.0,Port of Los Angeles,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2019
74,2019-12-17,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,86,3,GTO,6800.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2019
75,2020-01-07,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,87,4,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2020
76,2020-01-19,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,88,4,SO,7341.2,,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,2020
77,2020-01-29,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,89,3,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2020
78,2020-02-17,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,90,4,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,2020
79,2020-03-07,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,91,2,ISS,1977.0,Cape Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,2020
80,2020-03-18,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,92,5,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,2020
81,2020-04-22,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,93,4,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2020
82,2020-05-30,Falcon 9,KSC LC 39A,28.6080585,-80.6039558,94,1,ISS,9525.0,Port of Los Angeles,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2020
83,2020-06-04,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,95,5,VLEO,15600.0,Port Canaveral,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2020
84,2020-06-13,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,96,3,VLEO,15600.0,Port of Los Angeles,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,2020
85,2020-06-30,Falcon 9,CCSFS SLC 40,28.5618571,-80.577366,97,1,MEO,3880.0,Port Canaveral,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2020
